Time_period,Country,Region,Total area of the country (1000 ha),% of total country area cultivated (%),Total population (1000 inhab),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),Long-term average annual precipitation in volume (10^9 m3/year),Surface water produced internally (10^9 m3/year),Groundwater produced internally (10^9 m3/year),Overlap between surface water and groundwater (10^9 m3/year),Total internal renewable water resources (IRWR) (10^9 m3/year),Surface water: entering the country (total) (10^9 m3/year),Surface water: leaving the country to other countries (total) (10^9 m3/year),Surface water: total external renewable (10^9 m3/year),Groundwater: entering the country (total) (10^9 m3/year),Groundwater: leaving the country to other countries (total) (10^9 m3/year),Water resources: total external renewable (10^9 m3/year),Total renewable surface water (10^9 m3/year),Total renewable groundwater (10^9 m3/year),Total renewable water resources (10^9 m3/year),Dependency ratio (%),Total exploitable water resources (10^9 m3/year),Interannual variability (WRI) (-),Seasonal variability (WRI) (-),Total dam capacity (km3),Irrigation potential (1000 ha),Area equipped for irrigation: total (1000 ha),Area equipped for irrigation: actually irrigated (1000 ha),% of the cultivated area equipped for irrigation (%),% of irrigation potential equipped for irrigation (%),Flood recession cropping area non-equipped (1000 ha),Cultivated wetlands and inland valley bottoms non-equipped (1000 ha),% of agricultural water managed area equipped for irrigation (%),% of area equipped for irrigation by surface water (%),% of area equipped for irrigation by groundwater  (%),Total harvested irrigated crop area (full control irrigation) (1000 ha),Irrigated cropping intensity (%),% of total grain production irrigated (%),Area salinized by irrigation (1000 ha),Area waterlogged by irrigation (1000 ha),Flood occurrence (WRI) (-),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),Population affected by water related disease (1000 inhab)
1988-1992,Japan,Asia | Southern and Eastern Asia | East Asia,37780,13.67,123180,27580,95600,326,31255,630.2,420,27,17,430,0,0,0,0,0,0,420,27,430,0,,,,,,3043,3012,58.92,,,,100,,,,,,,,,100,100,
1988-1992,Mongolia,Asia | Southern and Eastern Asia | East Asia,156412,0.8714,2244,966,1278,1.435,587.2,377,32.7,6.1,4,34.8,0,26.4,0,0,0,0,32.7,6.1,34.8,0,,,,0.25,518,,,,,,,,,,,,,,,,21.7,77.3,
1988-1992,Republic of Korea,Asia | Southern and Eastern Asia | East Asia,9926,20.85,43708,10559,33149,440.3,8145,126.5,62.25,13.3,10.7,64.85,4.85,0,4.85,0,0,4.85,67.1,13.3,69.7,6.958,,,,,2070,984,,47.54,47.54,,,100,,,,,,,,,67.4,97,
1988-1992,Cambodia,Asia | Southern and Eastern Asia | Mainland Southeast Asia,18104,21.07,9659,8081,1578,53.35,205,344.7,116,17.6,13,120.6,355.5,471.5,355.5,0,0,355.5,471.5,17.6,476.1,74.67,,,,,,,,,,,,,,,,,,,,,21.5,33.8,
1988-1992,Lao People's Democratic Republic,Asia | Southern and Eastern Asia | Mainland Southeast Asia,23680,3.649,4497,3771,725.7,18.99,250.8,434.3,190.4,37.9,37.9,190.4,143.1,333.6,143.1,0,0,143.1,333.5,37.9,333.5,42.91,,,,7.03,600,,126.7,,,,,,,,,,,,,,,,
1988-1992,Myanmar,Asia | Southern and Eastern Asia | Mainland Southeast Asia,67659,14.84,43126,32316,10810,63.74,,1415,992.1,453.7,443,1003,128.2,17.6,165,0,,165,1157,453.7,1168,14.13,,,,,10500,1056,1056,10.52,10.06,,,100,,,,,,,,,51.5,79.9,
1988-1992,Thailand,Asia | Southern and Eastern Asia | Mainland Southeast Asia,51312,40.1,57762,40600,17162,112.6,1922,832.3,213.3,41.9,30.69,224.5,0,61.25,214.1,0,,214.1,427.4,41.9,438.6,48.81,,,,,12245,,,,,,,,,,,,,,,,84.9,96.1,
1988-1992,Viet Nam,Asia | Southern and Eastern Asia | Mainland Southeast Asia,33109,20.23,71130,56031,15099,214.8,138.7,602.9,323,71.42,35,359.4,524.7,37.15,524.7,0,0,524.7,847.7,71.42,884.1,59.35,,,,,9400,2900,2100,43.3,30.85,,,100,,,,,,,,,59,90.7,
1988-1992,Brunei Darussalam,Asia | Southern and Eastern Asia | Maritime Southeast Asia,577,1.04,272,89.6,182.4,47.14,15381,15.71,8.5,0.1,0.1,8.5,0,0,0,0,0,0,8.5,0.1,8.5,0,,,,0.045,,,,,,,,,,,,,,,,,,,
1988-1992,Indonesia,Asia | Southern and Eastern Asia | Maritime Southeast Asia,191093,15.46,187762,127289,60473,98.26,740.3,5163,1973,457.4,411.7,2019,0,0,0,0,,0,1973,457.4,2019,0,,,,,10886,,,,,,,,,,,,,,,,62.2,89.8,
1988-1992,Malaysia,Asia | Southern and Eastern Asia | Maritime Southeast Asia,33080,19.97,19205,9254,9951,58.06,3081,951,566,64,50,580,0,0,0,0,0,0,566,64,580,0,,,,22.29,413.7,342.2,,5.181,82.72,,,100,,,,,,,,,86.1,95.6,7
1988-1992,Papua New Guinea,Asia | Southern and Eastern Asia | Maritime Southeast Asia,46284,1.603,4369,3730,639.2,9.44,1002,1454,801,211.6,211.6,801,0,0,0,0,,0,801,211.6,801,0,,,,0.333,36,,,,,,,,,,,,,,,,24.3,87.3,
1988-1992,Philippines,Asia | Southern and Eastern Asia | Maritime Southeast Asia,30000,32.78,65079,33575,31504,216.9,814,704.4,444,180,145,479,0,0,0,0,0,0,444,180,479,0,,,,,3126,,,,,,39.48,,,,,,,,,,78.4,91.1,
1988-1992,Singapore,Asia | Southern and Eastern Asia | Maritime Southeast Asia,68,1.765,3193,0,3193,4696,16335,1.698,,,,0.6,0,0,0,0,0,0,,,0.6,0,,,,0.0749,,,,,,,,,,,,,,,,,,100,
1988-1992,Timor-Leste,Asia | Southern and Eastern Asia | Maritime Southeast Asia,1487,12.1,792.8,619.4,173.4,53.32,,22.3,8.129,0.886,0.8,8.215,0,0,0,0,0,0,8.129,0.886,8.215,0,,,,,,14,,7.778,,,,100,,,,,,,,,,,
1993-1997,Bahrain,Asia | Middle East | Arabian Peninsula,71,7.042,597.8,69.8,528,842,10621,0.0589,0.004,0,0,0.004,0,0,0,0.112,0,0.112,0.004,0.112,0.116,96.55,,,,0,4.23,3.165,3.165,63.3,74.82,,,100,0,86.4,3.165,100,0,1.065,1.86,,97.1,97.1,
1993-1997,Kuwait,Asia | Middle East | Arabian Peninsula,1782,0.3928,1686,82,1604,94.61,18004,2.156,0,0,0,0,0,0,0,0.02,0,0.02,0,0.02,0.02,100,,,,,25,4.77,4.77,68.14,19.08,,,100,0,61,4.77,100,100,4.08,,,99,99,
1993-1997,Oman,Asia | Middle East | Arabian Peninsula,30950,0.2262,2228,668,1560,7.199,7108,38.69,1.05,1.3,0.95,1.4,0,,0,0,,0,1.05,1.3,1.4,0,,,,0.0753,,61.55,61.55,87.93,,,,100,0,100,70.93,115.2,100,,,,72.7,85.4,
1993-1997,Qatar,Asia | Middle East | Arabian Peninsula,1161,1.378,528.2,21.7,506.5,45.5,21389,0.8591,0,0.056,0,0.056,0,0,0,0.002,0,0.002,0,0.058,0.058,3.448,,,,,,12.52,8.312,78.25,,,,100,0,94.2,8.797,105.8,100,,,,98.8,98.8,
1993-1997,Saudi Arabia,Asia | Middle East | Arabian Peninsula,214969,1.761,19810,4724,15086,9.215,8329,126.8,2.2,2.2,2,2.4,0,,0,0,0.394,0,2.2,2.2,2.4,0,,,,0.6184,,,,,,,,,,,,,,,,,94,94,
1993-1997,United Arab Emirates,Asia | Middle East | Arabian Peninsula,8360,1.136,2595,535,2060,31.04,30381,6.521,0.15,0.12,0.12,0.15,0,0,0,0,0,0,0.15,0.12,0.15,0,,,,0.041,,66.68,54.48,88.9,100,,,100,0,100,54.51,100.1,100,,,,100,99.6,
1993-1997,Yemen,Asia | Middle East | Arabian Peninsula,52797,3.258,16350,12369,3981,30.97,418.3,88.17,2,1.5,1.4,2.1,0,,0,0,0,0,2,1.5,2.1,0,,,,0.4074,,486.3,,28.27,,,,100,100,78.8,,,20,,,,53.9,86.5,
1993-1997,Armenia,Asia | Middle East | Caucasus,2974,16.75,3138,1083,2055,105.5,522.5,16.71,3.948,4.311,1.4,6.859,0,5.28,0.91,0,,0.91,4.858,4.311,7.769,11.71,,,,1.387,653.7,284.5,172.6,57.13,43.52,,,100,88.22,12.18,172.6,100,52,33.7,29.82,,77.3,98.2,
1993-1997,Azerbaijan,Asia | Middle East | Caucasus,8660,23.81,7922,3835,4087,91.48,500.2,38.71,5.955,6.51,4.35,8.115,19.76,,26.56,0,,26.56,32.52,6.51,34.68,76.6,,,,21.38,3200,1454,,70.51,45.44,,,100,93,7,762.8,,,184,,,55.3,87.1,
1993-1997,Georgia,Asia | Middle East | Caucasus,6970,15.25,4921,2294,2627,70.6,713.4,71.51,56.9,17.23,16,58.13,8.35,11.91,5.2,0,,5.2,62.1,17.23,63.33,8.211,,,,3.414,725,469,273.8,44.12,64.69,,,100,100,,,,,,,,76.7,96.4,
1993-1997,Iran (Islamic Republic of),Asia | Middle East | Iran (Islamic Republic of),174515,10.22,62426,23742,38684,35.77,1826,397.9,97.3,49.3,18.1,128.5,7.77,18.67,8.545,0,0,8.545,105.8,49.3,137,6.773,,,,18.52,15000,7264,7264,40.74,48.43,10,0,99.86,49.9,50.1,7264,100,61,2100,1000,,85.5,98.4,
1993-1997,Iraq,Asia | Middle East | Near East,43832,10.63,21519,6679,14840,49.09,470,94.68,34,3.2,2,35.2,61.33,,54.58,0.08,,54.66,88.58,3.28,89.86,60.83,,,,151.8,5554,,,,,,,,,,,,,,,,44,95,
1993-1997,Israel,Asia | Middle East | Near East,2207,18.99,5630,506,5124,255.1,20426,9.6,0.25,0.5,0,0.75,0.305,0.015,0.305,0.725,0.025,1.03,0.555,1.225,1.78,57.87,1.636,,,,,194,,46.3,,,,100,,,,,,27.82,,,100,100,
1993-1997,Jordan,Asia | Middle East | Near East,8878,3.041,4545,951,3594,51.19,1594,9.855,0.485,0.45,0.253,0.682,0.4,,0.165,0.27,,0.255,0.65,0.54,0.937,27.21,,,,0.1016,85,72.85,,26.98,85.71,,,100,,,66.6,,,,1.5,,90.8,98.3,
1993-1997,Lebanon,Asia | Middle East | Near East,1045,30.81,3093,450,2643,296,5093,6.907,4.1,3.2,2.5,4.8,0,0.575,-0.297,0,0.28,-0.297,3.803,3.2,4.503,0.7854,2.08,,,0.22,177.5,87.5,,27.17,49.3,,,100,54.3,45.7,87.5,,39,,,,83.3,83.3,
1993-1997,Occupied Palestinian Territory,Asia | Middle East | Near East,602,36.54,2872,842,2030,477.1,1309,2.42,0.072,0.74,0,0.812,0.015,0.017,0.015,0.01,,0.025,0.087,0.75,0.837,2.987,0.715,,,0,80,,,,,,,,,,24.02,,,,,,86.2,100,
1993-1997,Syrian Arab Republic,Asia | Middle East | Near East,18518,29.81,15152,7440,7712,81.82,957.3,46.67,4.288,4.844,2,7.132,28.52,31.73,8.34,11.13,0.34,9.67,12.63,6.174,16.8,72.36,20.6,,,,,1013,,18.35,,,,100,39.8,60.2,1254,,45,,,,77.1,96,
1993-1997,Turkey,Asia | Middle East | Near East,78535,34.21,60394,22251,38143,76.9,3146,465.7,186,69,28,227,1.8,60.12,-14.2,0,11,-15.4,171.8,67.8,211.6,1.518,112,,,147.3,8500,4186,3098,15.58,49.25,,,100,83.5,16.5,,,,,,,81.4,95.9,
1993-1997,Afghanistan,Asia | Central Asia,65286,11.93,18034,14162,3872,27.62,,213.5,37.5,10.65,1,47.15,10,42.22,18.18,0,,18.18,55.68,10.65,65.33,28.72,,,,2.009,,3199,,41.07,,,,100,,,,,,,,,19.5,46.7,
1993-1997,Kazakhstan,Asia | Central Asia,272490,12,15466,7023,8443,5.676,1433,681.2,56.5,33.85,26,64.35,72.04,40.33,44.06,0,,44.06,100.6,33.85,108.4,40.64,,,,79.95,3768,3558,,10.88,94.43,,,100,90,8,2313,100,6.3,242,,,89.1,97.7,
1993-1997,Kyrgyzstan,Asia | Central Asia,19995,7.132,4735,3039,1696,23.68,373.4,106.6,46.46,13.69,11.22,48.93,0.558,41.81,-25.31,0,,-25.31,21.15,13.69,23.62,1.128,,,,23.5,2247,1077,1077,75.53,47.93,,,100,99,1,1077,100,60,60,,,65.3,96,
1993-1997,Tajikistan,Asia | Central Asia,14255,6.433,5937,4286,1651,41.65,155.3,98.5,60.46,6,3,63.46,34.19,94.65,-41.55,0,,-41.55,18.91,6,21.91,17.34,,,,28.97,1580,719.2,719.2,78.43,45.52,,,100,87,9.5,719.2,100,84.5,115,,,43.7,92.1,
1993-1997,Turkmenistan,Asia | Central Asia,48810,3.688,4336,2374,1962,8.883,565.1,78.58,1,0.405,0,1.405,80.2,78.46,23.36,0,,23.36,24.36,0.405,24.77,97,,,,4.97,2353,1744,1744,96.89,74.12,,,100,97.5,2.5,1794,102.9,100,652.3,,,34.6,89.1,
1993-1997,Uzbekistan,Asia | Central Asia,44740,10.82,23475,14475,9000,52.47,628.1,92.16,9.54,8.8,2,16.34,102.2,99.35,32.53,0,,32.53,42.07,8.8,48.87,80.07,,,,21.66,4915,4281,4202,88.45,87.1,,,100,93.6,6.4,4309,102.5,61.5,2141,,,84.3,97.3,271.8
1993-1997,Bangladesh,Asia | Southern and Eastern Asia | South Asia,14846,59.04,123574,95538,28036,832.4,390.4,395.8,83.91,21.09,0,105,1122,0.057,1122,0.032,0.032,1122,1206,21.12,1227,91.44,,,,6.477,6933,3751,,42.8,54.1,,1545,70.83,30.9,69.1,3257,,47,100,770,,71.1,82.6,
1993-1997,Bhutan,Asia | Southern and Eastern Asia | South Asia,4008,4.291,520.9,404.2,116.7,13,702.6,88.18,81,8.1,8.1,81,0,81,0,0,,0,81,8.1,81,0,,,,,,27.02,27.02,15.71,,,,100,100,,27.9,103.3,,,,,74.5,97.9,
1993-1997,India,Asia | Southern and Eastern Asia | South Asia,328726,51.75,997817,730115,267702,303.5,423.9,3560,1404,432,390,1446,635.2,1385,464.9,0,0,464.9,1869,432,1911,30.52,,,,178,139500,50101,,29.45,35.91,,,100,40.57,52.97,66144,,56,,,,72.5,91.3,4958
1993-1997,Maldives,Asia | Southern and Eastern Asia | South Asia,30,23.33,265.1,197.5,67.62,883.7,1917,0.5916,0,0.03,0,0.03,0,0,0,0,0,0,0,0.03,0.03,0,,,,,,,,,,,,,,,,,,,,,92.1,100,
1993-1997,Nepal,Asia | Southern and Eastern Asia | South Asia,14718,16.48,22395,19829,2566,152.2,219.6,220.8,198.2,20,20,198.2,12,210.2,12,0,,12,210.2,20,210.2,5.709,,,,0.0853,2178,1134,,46.74,52.07,,,100,73.9,12.4,,,,,,,71,94.9,
1993-1997,Pakistan,Asia | Southern and Eastern Asia | South Asia,79610,39.78,128846,85630,43216,161.8,484.6,393.3,47.4,55,47.4,55,265.1,10.72,191.8,0,,191.8,239.2,55,246.8,77.71,,,,27.74,21300,,,,,,,,,,,,,,,,84.1,95.7,
1993-1997,Sri Lanka,Asia | Southern and Eastern Asia | South Asia,6561,28.78,18478,15064,3414,281.6,816.8,112.3,52,7.8,7,52.8,0,0,0,0,0,0,52,7.8,52.8,0,,,,5.942,570,570,,30.19,100,0,0,100,99.8,0.2,,,,,,,72.3,94,120
1993-1997,China,Asia | Southern and Eastern Asia | East Asia,960000,13.68,1275559,840551,435008,132.9,751,6192,2712,828.8,727.9,2813,17.17,718.8,27.32,0,0,27.32,2739,828.8,2840,0.9619,,,,479.7,70000,53327,45017,40.59,76.18,,,100,,,,,67,,,,66.4,97.2,
1993-1997,Democratic People's Republic of Korea,Asia | Southern and Eastern Asia | East Asia,12054,20.74,22241,9080,13161,184.5,,127,66,13,12,67,0,4.85,10.15,0,0,10.15,76.15,13,77.15,13.16,,,,10.55,,1460,,58.4,,,,100,,,1351,100,,,,,99.9,99.9,
1993-1997,Japan,Asia | Southern and Eastern Asia | East Asia,37780,13.1,125048,27170,97878,331,34547,630.2,420,27,17,430,0,0,0,0,0,0,420,27,430,0,,,,28.98,,3128,3128,63.2,,,,100,84.02,,,,98,,,,100,100,
1993-1997,Mongolia,Asia | Southern and Eastern Asia | East Asia,156412,0.7851,2336,1011,1325,1.493,505.5,377,32.7,6.1,4,34.8,0,26.4,0,0,0,0,32.7,6.1,34.8,0,,,,0.25,518,84.3,62.9,6.865,16.27,,,100,57.18,42.82,35,100,,,,,27,75.7,
1993-1997,Republic of Korea,Asia | Southern and Eastern Asia | East Asia,9926,19.38,45284,9603,35681,456.2,12366,126.5,62.25,13.3,10.7,64.85,4.85,0,4.85,0,0,4.85,67.1,13.3,69.7,6.958,,,,16.2,1924,888.8,,46.2,46.2,,,100,94.9,5.1,888.8,,,,,,70.6,97.4,
1993-1997,Cambodia,Asia | Southern and Eastern Asia | Mainland Southeast Asia,18104,21.16,11339,9281,2058,62.63,303.7,344.7,116,17.6,13,120.6,355.5,471.5,355.5,0,0,355.5,471.5,17.6,476.1,74.67,,,,,,269.5,241.8,7.037,,121,,69.01,100,,,,,,,,31.9,48.3,507
1993-1997,Lao People's Democratic Republic,Asia | Southern and Eastern Asia | Mainland Southeast Asia,23680,3.927,5069,4094,974.5,21.41,344.6,434.3,190.4,37.9,37.9,190.4,143.1,333.6,143.1,0,0,143.1,333.5,37.9,333.5,42.91,,,,7.03,600,155.4,138.1,16.71,25.9,231.5,,40.17,99.94,0.0322,162.7,117.8,,,,,33.5,70.3,
1993-1997,Myanmar,Asia | Southern and Eastern Asia | Mainland Southeast Asia,67659,15.01,45896,33744,12152,67.83,,1415,992.1,453.7,443,1003,128.2,17.6,165,0,,165,1157,453.7,1168,14.13,,,,,10500,1582,1582,15.58,15.07,,,100,96.5,3.5,1911,122.9,,,,,56.3,82.6,
1993-1997,Thailand,Asia | Southern and Eastern Asia | Mainland Southeast Asia,51312,38.28,60545,42109,18436,118,2477,832.3,213.3,41.9,30.69,224.5,0,61.25,214.1,0,,214.1,427.4,41.9,438.6,48.81,,,,,12245,5004,,25.48,40.87,,,100,99.8,0.2,,,,,,,87.9,96.4,960
1993-1997,Viet Nam,Asia | Southern and Eastern Asia | Mainland Southeast Asia,33111,21.75,77460,59494,17966,233.9,346.5,603,323,71.42,35,359.4,524.7,37.15,524.7,0,0,524.7,847.7,71.42,884.1,59.35,,,,,9400,3000,2100,41.66,31.91,,,100,,,5800,276.2,94.5,,,,67.2,92.6,
1993-1997,Brunei Darussalam,Asia | Southern and Eastern Asia | Maritime Southeast Asia,577,1.04,309.8,93.9,215.9,53.69,16776,15.71,8.5,0.1,0.1,8.5,0,0,0,0,0,0,8.5,0.1,8.5,0,,,,0.045,,1,0.63,16.67,,,,100,100,,1,158.7,100,,,,,,
1993-1997,Indonesia,Asia | Southern and Eastern Asia | Maritime Southeast Asia,191093,16.93,202854,126022,76832,106.2,1065,5163,1973,457.4,411.7,2019,0,0,0,0,,0,1973,457.4,2019,0,,,,15.8,10886,4428,,13.69,40.68,,3841,53.55,99.01,0.9984,,,,,,,66,90.8,
1993-1997,Malaysia,Asia | Southern and Eastern Asia | Maritime Southeast Asia,33080,20.47,21808,9109,12699,65.93,4585,951,566,64,50,580,0,0,0,0,0,0,566,64,580,0,,,,22.33,413.7,362.7,,5.357,87.67,,,100,92,8,477.6,183.6,70,,,,87.7,96.8,
1993-1997,Papua New Guinea,Asia | Southern and Eastern Asia | Maritime Southeast Asia,46284,1.7,4969,4287,682.2,10.74,993.5,1454,801,211.6,211.6,801,0,0,0,0,,0,801,211.6,801,0,,,,0.665,36,0,,0,0,,,,,,,,,,,,25.7,87.4,
1993-1997,Philippines,Asia | Southern and Eastern Asia | Maritime Southeast Asia,30000,32.95,73043,37984,35059,243.5,1127,704.4,444,180,145,479,0,0,0,0,0,0,444,180,479,0,,,,4.753,3126,1550,1471,15.68,49.58,,,100,90.2,9.8,,,,,,,80.9,91.7,
1993-1997,Singapore,Asia | Southern and Eastern Asia | Maritime Southeast Asia,68,1.765,3653,0,3653,5372,27375,1.698,,,,0.6,0,0,0,0,0,0,,,0.6,0,,,,0.0749,,,,,,,,,,,,,,,,,,100,
1993-1997,Timor-Leste,Asia | Southern and Eastern Asia | Maritime Southeast Asia,1487,12.98,853.9,653.6,200.3,57.42,,22.3,8.129,0.886,0.8,8.215,0,0,0,0,0,0,8.129,0.886,8.215,0,,,,,,,,,,,,,,,,,,,,,48.8,66.7,
1998-2002,Bahrain,Asia | Middle East | Arabian Peninsula,71,7.324,725.4,78,647.4,1022,13278,0.0589,0.004,0,0,0.004,0,0,0,0.112,0,0.112,0.004,0.112,0.116,96.55,,,,,4.23,4.06,4.06,78.08,95.98,,,100,,90.3,4.015,,,,,,100,100,
1998-2002,Kuwait,Asia | Middle East | Arabian Peninsula,1782,0.8418,2042,32,2010,114.6,18677,2.156,0,0,0,0,0,0,0,0.02,0,0.02,0,0.02,0.02,100,,,,,25,6.968,,46.45,27.87,,,100,,,,,,,,,99,99,
1998-2002,Oman,Asia | Middle East | Arabian Peninsula,30950,0.2372,2323,672,1651,7.506,8671,38.69,1.05,1.3,0.95,1.4,0,,0,0,,0,1.05,1.3,1.4,0,,,,0.0754,,,,,,,,,,,,,,,,,77.2,88.8,
1998-2002,Qatar,Asia | Middle East | Arabian Peninsula,1161,1.249,634.4,25.5,608.9,54.64,30523,0.8591,0,0.056,0,0.056,0,0,0,0.002,0,0.002,0,0.058,0.058,3.448,,,,,,12.94,6.063,89.24,,,,100,,93.35,,,,,,,99.4,99.4,
1998-2002,Saudi Arabia,Asia | Middle East | Arabian Peninsula,214969,1.764,22668,5141,17527,10.54,8338,126.8,2.2,2.2,2,2.4,0,,0,0,0.394,0,2.2,2.2,2.4,0,,,,0.944,,,1191,,,,,,,,1205,101.2,,,,,95.7,95.7,
1998-2002,United Arab Emirates,Asia | Middle East | Arabian Peninsula,8360,3.182,3394,780,2614,40.6,32410,6.521,0.15,0.12,0.12,0.15,0,0,0,0,0,0,0.15,0.12,0.15,0,,,,0.0478,,,,,,,,,,,,,,,,,100,99.6,
1998-2002,Yemen,Asia | Middle East | Arabian Peninsula,52797,3.137,18832,13765,5067,35.67,567.8,88.17,2,1.5,1.4,2.1,0,,0,0,0,0,2,1.5,2.1,0,,,,0.4189,,,,,,,,,,,,,,,,,50.5,79.9,
1998-2002,Armenia,Asia | Middle East | Caucasus,2974,16.51,3047,1088,1959,102.5,779.9,16.71,3.948,4.311,1.4,6.859,0,5.28,0.91,0,,0.91,4.858,4.311,7.769,11.71,,,,1.387,653.7,273.5,,55.7,41.84,,,100,81.39,18.61,,,,,17.96,,84.7,98.7,1.644
1998-2002,Azerbaijan,Asia | Middle East | Caucasus,8660,23.82,8281,3993,4288,95.62,753.1,38.71,5.955,6.51,4.35,8.115,19.76,,26.56,0,,26.56,32.52,6.51,34.68,76.6,,,,21.5,3200,1426,1352,69.12,44.56,,,100,,,,,,,,,61.5,89.2,
1998-2002,Georgia,Asia | Middle East | Caucasus,6970,15.27,4630,2213,2417,66.43,733.4,71.51,56.9,17.23,16,58.13,8.35,11.91,5.2,0,,5.2,62.1,17.23,63.33,8.211,,,,3.414,725,,,,,,,,,,,,,113.6,,,83.3,97.6,
1998-2002,Iran (Islamic Republic of),Asia | Middle East | Iran (Islamic Republic of),174515,9.996,67697,23357,44340,38.79,1906,397.9,97.3,49.3,18.1,128.5,7.77,18.67,8.545,0,0,8.545,105.8,49.3,137,6.773,,,,20.51,15000,,,,,,,,,,,,,,,,87.6,98.2,
1998-2002,Iraq,Asia | Middle East | Near East,43832,11.04,24944,7630,17314,56.91,760.5,94.68,34,3.2,2,35.2,61.33,,54.58,0.08,,54.66,88.58,3.28,89.86,60.83,,,,151.8,5554,,,,,,,,,,,,,,,,52.2,94.7,
1998-2002,Israel,Asia | Middle East | Near East,2207,19.62,6240,542,5698,282.7,19391,9.6,0.25,0.5,0,0.75,0.305,0.015,0.305,0.725,0.025,1.03,0.555,1.225,1.78,57.87,1.636,,,,,,,,,,,,,,181.6,,,,,,100,100,
1998-2002,Jordan,Asia | Middle East | Near East,8878,3.188,4939,999,3940,55.63,1940,9.855,0.485,0.45,0.253,0.682,0.4,,0.165,0.27,,0.255,0.65,0.54,0.937,27.21,,,,0.1626,85,74.93,,26.48,88.15,,,100,,,74.93,,,,,,91.2,98.2,
1998-2002,Lebanon,Asia | Middle East | Near East,1045,25.93,3523,491,3032,337.1,5436,6.907,4.1,3.2,2.5,4.8,0,0.575,-0.297,0,0.28,-0.297,3.803,3.2,4.503,0.7854,2.08,,,0.22,177.5,104,90,38.38,58.59,,,100,48.02,51.99,104,115.6,,1,,,88.1,88.1,
1998-2002,Occupied Palestinian Territory,Asia | Middle East | Near East,602,36.54,3381,945,2436,561.6,1052,2.42,0.072,0.74,0,0.812,0.015,0.017,0.015,0.01,,0.025,0.087,0.75,0.837,2.987,0.715,,,,,20.07,,9.123,,,,100,,100,,,,,,,84.9,87.4,
1998-2002,Syrian Arab Republic,Asia | Middle East | Near East,18518,29.27,16998,8045,8953,91.79,1270,46.67,4.288,4.844,2,7.132,28.52,31.73,8.34,11.13,0.34,9.67,12.63,6.174,16.8,72.36,20.6,,,15.56,,1267,1210,23.37,,,,100,,,1334,110.2,,,,,80.4,94.8,
1998-2002,Turkey,Asia | Middle East | Near East,78535,33.84,65126,22242,42884,82.93,3578,465.7,186,69,28,227,1.8,60.12,-14.2,0,11,-15.4,171.8,67.8,211.6,1.518,112,,,156,8500,,,,,,,,,,,,,,,,87,97.4,
1998-2002,Afghanistan,Asia | Central Asia,65286,11.88,21487,16621,4866,32.91,192.2,213.5,37.5,10.65,1,47.15,10,42.22,18.18,0,,18.18,55.68,10.65,65.33,28.72,,,,2.009,,3208,2140,41.38,,,,100,82.01,17.99,,,,,,,27.6,55.9,
1998-2002,Kazakhstan,Asia | Central Asia,272490,10.45,15011,6921,8090,5.509,1641,681.2,56.5,33.85,26,64.35,72.04,40.33,44.06,0,,44.06,100.6,33.85,108.4,40.64,,,,79.95,3768,1833,,6.439,48.65,,,100,,,,,,,,,88.1,98.2,3.22
1998-2002,Kyrgyzstan,Asia | Central Asia,19995,7.057,5028,3262,1766,25.15,319.3,106.6,46.46,13.69,11.22,48.93,0.558,41.81,-25.31,0,,-25.31,21.15,13.69,23.62,1.128,,,,,2247,,,,,,,,,,,,,,,,71.1,96.2,
1998-2002,Tajikistan,Asia | Central Asia,14255,6.18,6407,4714,1693,44.95,190.6,98.5,60.46,6,3,63.46,34.19,94.65,-41.55,0,,-41.55,18.91,6,21.91,17.34,,,,,1580,719.2,,81.63,45.52,,,100,,,,,,,,,50.5,92.4,
1998-2002,Turkmenistan,Asia | Central Asia,48810,4.302,4600,2467,2133,9.424,970,78.58,1,0.405,0,1.405,80.2,78.46,23.36,0,,23.36,24.36,0.405,24.77,97,,,,4.97,2353,,,,,,,,,,,,,1354,756.5,,34.6,89.1,
1998-2002,Uzbekistan,Asia | Central Asia,44740,10.79,25089,15683,9406,56.08,386.1,92.16,9.54,8.8,2,16.34,102.2,99.35,32.53,0,,32.53,42.07,8.8,48.87,80.07,,,,22.16,4915,,,,,,,,,,,,,,,,82.8,97.8,
1998-2002,Bangladesh,Asia | Southern and Eastern Asia | South Asia,14846,58.96,136228,102310,33918,917.6,401.7,395.8,83.91,21.09,0,105,1122,0.057,1122,0.032,0.032,1122,1206,21.12,1227,91.44,,,,6.477,6933,,,,,,,,,,,,,,,,75.5,83.7,
1998-2002,Bhutan,Asia | Southern and Eastern Asia | South Asia,4008,3.244,598.4,433.4,165,14.93,897.5,88.18,81,8.1,8.1,81,0,81,0,0,,0,81,8.1,81,0,,,,,,,,,,,,,,,,,,,,,82,98.5,
1998-2002,India,Asia | Southern and Eastern Asia | South Asia,328726,51.72,1090189,786084,304105,331.6,480.7,3560,1404,432,390,1446,635.2,1385,464.9,0,0,464.9,1869,432,1911,30.52,,,,212.8,139500,61908,58130,36.41,44.38,,,100,36.32,63.68,76187,131.1,,3300,2460,,78.4,93,44000
